timestamp,task,status,exit_code,elapsed_s,args
2026-03-18 08:55:41,WeChat Reconcile,success,0,1.63,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.18.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260317_155204.xlsx --no-interactive
2026-03-18 09:07:03,WeChat Reconcile,success,0,1.57,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.18.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260317_155204.xlsx --no-interactive
2026-03-18 23:33:38,Order Query,failed,62097,58.74,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0
2026-03-18 23:39:46,WeChat Reconcile,success,0,1.97,-u D:\Data\Data\GitHub\mianhuaguo\wechat_order_reconcile.py --log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/reconcile_result_gui_3.18.xlsx --source docx --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --orders D:/Data/Data/GitHub/mianhuaguo/data/orders_result_20260317_155204.xlsx --no-interactive
2026-03-18 23:54:59,Order Query,failed,62097,14.47,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0
2026-03-18 23:55:55,Order Query,success,0,1.24,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-18 23:57:11,Order Query,success,0,1.15,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-18 23:57:23,Order Query,success,0,1.13,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-18 23:59:47,Order Query,success,0,1.21,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-19 00:09:39,Order Query,success,0,261.03,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
2026-03-19 00:21:58,Order Query,success,0,263.82,-u D:\Data\Data\GitHub\mianhuaguo\mhg_batch_query.py --no-interactive --input C:/Users/Administrator/Downloads/(核对结果)进行中（导出）.xlsx --output D:/Data/Data/GitHub/mianhuaguo/data/orders_result_3.18_gui.xlsx --cookie PHPSESSID=i9jr6tk65bkf2gp4hvp58r73qo --start-date 2024-01-01 --end-date 2026-12-31 --delay 1.0 --enable-wechat-compare --wechat D:/Data/Data/GitHub/mianhuaguo/data/群聊_单号群_3.18.docx --wechat-log D:/Data/Data/GitHub/mianhuaguo/data/wechat_shipment_log.xlsx
